car_id,name,km_driven,transmission,owner,mileage,engine,max_power,torque
CarID1,Maruti Swift Dzire VDI,145500,Manual,First Owner,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm
CarID2,Skoda Rapid 1.5 TDI Ambition,120000,Manual,Second Owner,21.14 kmpl,1498 CC,103.52 bhp,250Nm@ 1500-2500rpm
CarID3,Honda City 2017-2020 EXi,140000,Manual,Third Owner,17.7 kmpl,1497 CC,78 bhp,"12.7@ 2,700(kgm@ rpm)"
CarID4,Hyundai i20 Sportz Diesel,127000,Manual,First Owner,23.0 kmpl,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm
CarID5,Maruti Swift VXI BSIII,120000,Manual,First Owner,16.1 kmpl,1298 CC,88.2 bhp,"11.5@ 4,500(kgm@ rpm)"
CarID6,Hyundai Xcent 1.2 VTVT E Plus,45000,Manual,First Owner,20.14 kmpl,1197 CC,81.86 bhp,113.75nm@ 4000rpm
CarID7,Maruti Wagon R LXI DUO BSIII,175000,Manual,First Owner,17.3 km/kg,1061 CC,57.5 bhp,"7.8@ 4,500(kgm@ rpm)"
CarID8,Maruti 800 DX BSII,5000,Manual,Second Owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm
CarID9,Toyota Etios VXD,90000,Manual,First Owner,23.59 kmpl,1364 CC,67.1 bhp,170Nm@ 1800-2400rpm
CarID10,Ford Figo Diesel Celebration Edition,169000,Manual,First Owner,20.0 kmpl,1399 CC,68.1 bhp,160Nm@ 2000rpm
CarID11,Renault Duster 110PS Diesel RxL,68000,Manual,Second Owner,19.01 kmpl,1461 CC,108.45 bhp,248Nm@ 2250rpm
CarID12,Maruti Zen LX,100000,Manual,Second Owner,17.3 kmpl,993 CC,60 bhp,78Nm@ 4500rpm
CarID13,Maruti Swift Dzire VDi,140000,Manual,Second Owner,19.3 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm
CarID14,Maruti Swift 1.3 VXi,80000,Manual,Second Owner,,,,
CarID15,Maruti Wagon R LXI Minor,90000,Manual,Second Owner,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm
