,brand,year,selling_price,fuel,seller_type,mileage
0,Maruti,2014,450000,Diesel,Individual,23.4 kmpl
1,Skoda,2014,370000,Diesel,Individual,21.14 kmpl
2,Honda,2006,158000,Petrol,Individual,17.7 kmpl
3,Hyundai,2010,225000,Diesel,Individual,23.0 kmpl
4,Maruti,2007,130000,Petrol,Individual,16.1 kmpl
5,Hyundai,2017,440000,Petrol,Individual,20.14 kmpl
6,Maruti,2007,96000,LPG,Individual,17.3 km/kg
7,Maruti,2001,45000,Petrol,Individual,16.1 kmpl
8,Toyota,2011,350000,Diesel,Individual,23.59 kmpl
9,Ford,2013,200000,Diesel,Individual,20.0 kmpl
10,Renault,2014,500000,Diesel,Individual,19.01 kmpl
11,Maruti,2005,92000,Petrol,Individual,17.3 kmpl
12,Maruti,2009,280000,Diesel,Individual,19.3 kmpl
14,Maruti,2009,180000,Petrol,Individual,18.9 kmpl
15,Mahindra,2016,400000,Petrol,Individual,18.15 kmpl
16,Maruti,2016,778000,Diesel,Individual,24.52 kmpl
17,Hyundai,2012,500000,Diesel,Individual,23.0 kmpl
18,Maruti,2002,150000,Petrol,Individual,19.7 kmpl
19,Hyundai,2016,680000,Diesel,Individual,22.54 kmpl
20,Mahindra,2011,174000,Diesel,Individual,21.0 kmpl
21,Honda,2017,950000,Diesel,Individual,25.5 kmpl
22,Maruti,2015,525000,Diesel,Individual,26.59 kmpl
23,Maruti,2012,600000,Diesel,Individual,21.5 kmpl
24,Tata,2018,500000,Petrol,Individual,20.3 kmpl
25,Maruti,2016,575000,Petrol,Individual,21.4 kmpl
26,Maruti,2017,275000,Petrol,Individual,24.7 kmpl
27,Chevrolet,2013,300000,Diesel,Individual,18.2 kmpl
28,Maruti,2009,220000,Petrol,Individual,18.9 kmpl
29,Maruti,2018,254999,Petrol,Individual,16.8 kmpl
30,Maruti,2017,670000,Diesel,Individual,24.3 kmpl
32,Maruti,2012,150000,Petrol,Individual,14.0 kmpl
33,Hyundai,2018,730000,Petrol,Individual,18.6 kmpl
34,Maruti,2017,650000,Diesel,Individual,24.3 kmpl
35,Maruti,2019,330000,CNG,Individual,33.44 km/kg
36,Maruti,2019,366000,Petrol,Individual,23.95 kmpl
37,Hyundai,2019,1149000,Petrol,Individual,17.0 kmpl
38,Datsun,2016,150000,Petrol,Individual,20.63 kmpl
39,Tata,2011,425000,Diesel,Individual,13.93 kmpl
40,Maruti,2012,150000,Petrol,Individual,16.1 kmpl
41,Jeep,2019,2100000,Petrol,Individual,16.0 kmpl
42,Honda,2018,925000,Petrol,Dealer,17.8 kmpl
43,Honda,2013,425000,Petrol,Dealer,16.8 kmpl
44,Maruti,2018,675000,Petrol,Dealer,18.5 kmpl
45,Maruti,2018,819999,Diesel,Dealer,24.3 kmpl
46,Maruti,2018,390000,Petrol,Dealer,23.95 kmpl
47,Toyota,2014,1500000,Diesel,Dealer,12.55 kmpl
48,Toyota,2013,700000,Diesel,Dealer,12.99 kmpl
49,Mercedes-Benz,2014,1450000,Diesel,Dealer,14.8 kmpl
50,Honda,2015,425000,Diesel,Dealer,24.7 kmpl
51,Mitsubishi,2013,1090000,Diesel,Dealer,13.5 kmpl
52,Honda,2015,600000,Diesel,Dealer,26.0 kmpl
53,Maruti,2018,850000,Petrol,Dealer,20.65 kmpl
54,Honda,2015,525000,Diesel,Dealer,27.3 kmpl
55,Toyota,2016,1650000,Diesel,Dealer,11.36 kmpl
56,Toyota,2016,950000,Diesel,Dealer,12.99 kmpl
57,Audi,2013,1750000,Diesel,Dealer,17.68 kmpl
58,Toyota,2018,1590000,Petrol,Dealer,14.28 kmpl
59,Audi,2013,1689999,Diesel,Dealer,18.53 kmpl
60,Mercedes-Benz,2013,1425000,Diesel,Dealer,14.84 kmpl
61,Tata,2011,265000,Diesel,Individual,21.12 kmpl
62,Hyundai,2011,190000,Petrol,Individual,20.36 kmpl
63,Hyundai,2013,425000,Diesel,Individual,21.27 kmpl
64,Maruti,2015,630000,Diesel,Individual,26.59 kmpl
65,Ford,2017,600000,Petrol,Individual,18.16 kmpl
66,Maruti,2019,650000,Petrol,Individual,21.4 kmpl
67,Volkswagen,2016,540000,Diesel,Individual,22.0 kmpl
68,Honda,2015,630000,Diesel,Individual,25.1 kmpl
69,Maruti,2018,448000,Petrol,Individual,20.51 kmpl
70,Volkswagen,2017,500000,Diesel,Individual,21.66 kmpl
71,Maruti,2016,745000,Diesel,Individual,24.3 kmpl
72,Maruti,2019,1025000,Diesel,Individual,24.3 kmpl
73,Hyundai,2011,235000,Petrol,Individual,20.36 kmpl
74,Maruti,2016,630000,Diesel,Individual,25.2 kmpl
75,Toyota,2015,1700000,Diesel,Individual,12.55 kmpl
76,Maruti,2013,450000,Diesel,Individual,22.9 kmpl
77,Maruti,2012,450000,Petrol,Individual,16.02 kmpl
79,Volkswagen,2013,450000,Diesel,Individual,20.54 kmpl
80,Toyota,2016,1200000,Diesel,Individual,12.99 kmpl
81,Ford,2015,610000,Diesel,Individual,22.77 kmpl
82,BMW,2016,2500000,Petrol,Individual,15.71 kmpl
83,Maruti,2017,484999,Petrol,Dealer,23.1 kmpl
84,Datsun,2016,275000,Petrol,Dealer,19.02 kmpl
85,Maruti,2016,315000,Petrol,Dealer,24.7 kmpl
86,Maruti,2016,275000,Petrol,Dealer,24.7 kmpl
88,Hyundai,2012,290000,Petrol,Dealer,19.81 kmpl
89,Maruti,2017,280000,Petrol,Dealer,14.0 kmpl
90,Maruti,2010,225000,LPG,Dealer,26.2 km/kg
91,Volkswagen,2015,455000,Petrol,Dealer,16.47 kmpl
92,Hyundai,2015,351000,Petrol,Dealer,19.81 kmpl
93,Volkswagen,2012,535000,Petrol,Dealer,15.04 kmpl
94,Maruti,2009,175000,Petrol,Dealer,18.2 kmpl
95,Hyundai,2013,525000,Petrol,Dealer,18.5 kmpl
96,Maruti,2016,600000,Diesel,Individual,26.59 kmpl
97,Hyundai,2016,565000,Petrol,Dealer,19.1 kmpl
98,Maruti,2008,120000,Petrol,Dealer,19.7 kmpl
99,Hyundai,2017,725000,Diesel,Individual,22.54 kmpl
100,Maruti,2009,185000,Petrol,Dealer,21.79 kmpl
101,Tata,2010,200000,Diesel,Individual,18.8 kmpl
102,Maruti,2019,615000,Petrol,Individual,21.21 kmpl
103,Maruti,2016,270000,Petrol,Individual,15.37 kmpl
104,Maruti,2018,610000,Petrol,Individual,21.4 kmpl
105,Mahindra,2014,625000,Diesel,Individual,11.79 kmpl
106,Ford,2020,400000,Petrol,Individual,19.0 kmpl
107,Hyundai,2017,866000,Petrol,Individual,17.0 kmpl
108,Volkswagen,2010,700000,Petrol,Individual,14.3 kmpl
109,Tata,2010,300000,Petrol,Individual,15.8 kmpl
110,Mahindra,2019,1700000,Diesel,Individual,15.1 kmpl
111,Tata,2016,375000,Diesel,Individual,19.09 kmpl
112,Hyundai,2013,522000,Diesel,Individual,22.32 kmpl
113,Hyundai,2013,451999,Diesel,Individual,21.9 kmpl
114,Toyota,2009,300000,Petrol,Individual,14.53 kmpl
115,Maruti,2020,475000,Petrol,Individual,21.63 kmpl
116,Maruti,2016,780000,Diesel,Individual,24.3 kmpl
117,Maruti,2017,595000,Petrol,Individual,20.85 kmpl
118,Maruti,2017,440000,Petrol,Individual,20.51 kmpl
120,Nissan,2014,400000,Diesel,Individual,20.45 kmpl
121,Hyundai,2016,1140000,Diesel,Individual,19.67 kmpl
122,Ford,2017,850000,Diesel,Individual,23.0 kmpl
123,Maruti,2012,370000,Diesel,Individual,19.3 kmpl
124,Renault,2018,350000,Petrol,Individual,23.01 kmpl
125,Maruti,2015,360000,Petrol,Individual,23.1 kmpl
126,Maruti,2008,105000,Petrol,Individual,19.7 kmpl
127,Maruti,2013,625000,Diesel,Individual,20.77 kmpl
128,Hyundai,2009,135000,Petrol,Individual,17.92 kmpl
129,Maruti,2015,700000,Diesel,Individual,20.77 kmpl
130,Honda,2019,690000,Petrol,Dealer,17.8 kmpl
131,Audi,2018,3975000,Diesel,Dealer,17.01 kmpl
132,Lexus,2019,5150000,Petrol,Dealer,22.37 kmpl
133,Jaguar,2017,3200000,Diesel,Dealer,19.33 kmpl
134,Jeep,2017,4100000,Petrol,Individual,9.5 kmpl
135,Land,2019,4500000,Diesel,Dealer,12.83 kmpl
136,Mercedes-Benz,2017,6000000,Diesel,Dealer,13.5 kmpl
137,BMW,2018,3790000,Diesel,Dealer,22.48 kmpl
139,BMW,2019,5800000,Diesel,Dealer,16.78 kmpl
140,Skoda,2018,1864999,Petrol,Dealer,14.67 kmpl
141,Mercedes-Benz,2016,2700000,Diesel,Dealer,15.0 kmpl
142,MG,2019,1750000,Petrol,Dealer,13.96 kmpl
143,Honda,2017,795000,Petrol,Dealer,18.0 kmpl
144,Toyota,2013,625000,Petrol,Dealer,14.28 kmpl
145,Volvo,2018,3400000,Diesel,Dealer,18.0 kmpl
146,Audi,2015,2650000,Diesel,Dealer,12.07 kmpl
147,Maruti,2015,535000,Diesel,Dealer,26.21 kmpl
148,Mercedes-Benz,2017,5850000,Diesel,Dealer,13.5 kmpl
149,BMW,2010,975000,Petrol,Dealer,10.8 kmpl
150,Hyundai,2016,805000,Petrol,Dealer,16.3 kmpl
151,Jaguar,2017,2625000,Diesel,Dealer,13.6 kmpl
152,Tata,2018,811000,Petrol,Dealer,17.0 kmpl
153,Volkswagen,2011,375000,Petrol,Individual,15.04 kmpl
154,Hyundai,2012,550000,Petrol,Individual,16.3 kmpl
155,Skoda,2016,645000,Petrol,Dealer,14.3 kmpl
156,Mercedes-Benz,2018,2550000,Petrol,Dealer,15.04 kmpl
157,Maruti,2014,599000,Petrol,Dealer,16.02 kmpl
158,Mercedes-Benz,2017,2700000,Petrol,Dealer,14.74 kmpl
159,Honda,2017,875000,Petrol,Dealer,15.6 kmpl
160,Toyota,2019,894999,Petrol,Dealer,19.56 kmpl
161,Maruti,2011,175000,Petrol,Dealer,23.95 kmpl
162,Maruti,2012,340000,Petrol,Dealer,21.21 kmpl
163,Toyota,2016,1525000,Diesel,Dealer,11.36 kmpl
