,manufactory,year,selling_price,fuel,seller_type,mileage
24,Tata,2018,500000,Petrol,Individual,20.3 kmpl
29,Maruti,2018,254999,Petrol,Individual,16.8 kmpl
33,Hyundai,2018,730000,Petrol,Individual,18.6 kmpl
35,Maruti,2019,330000,CNG,Individual,33.44 km/kg
36,Maruti,2019,366000,Petrol,Individual,23.95 kmpl
37,Hyundai,2019,1149000,Petrol,Individual,17.0 kmpl
42,Honda,2018,925000,Petrol,Dealer,17.8 kmpl
44,Maruti,2018,675000,Petrol,Dealer,18.5 kmpl
45,Maruti,2018,819999,Diesel,Dealer,24.3 kmpl
46,Maruti,2018,390000,Petrol,Dealer,23.95 kmpl
53,Maruti,2018,850000,Petrol,Dealer,20.65 kmpl
66,Maruti,2019,650000,Petrol,Individual,21.4 kmpl
69,Maruti,2018,448000,Petrol,Individual,20.51 kmpl
72,Maruti,2019,1025000,Diesel,Individual,24.3 kmpl
102,Maruti,2019,615000,Petrol,Individual,21.21 kmpl
104,Maruti,2018,610000,Petrol,Individual,21.4 kmpl
106,Ford,2020,400000,Petrol,Individual,19.0 kmpl
110,Mahindra,2019,1700000,Diesel,Individual,15.1 kmpl
115,Maruti,2020,475000,Petrol,Individual,21.63 kmpl
130,Honda,2019,690000,Petrol,Dealer,17.8 kmpl
137,BMW,2018,3790000,Diesel,Dealer,22.48 kmpl
139,BMW,2019,5800000,Diesel,Dealer,16.78 kmpl
152,Tata,2018,811000,Petrol,Dealer,17.0 kmpl
164,Tata,2018,1025000,Diesel,Dealer,21.5 kmpl
172,Ford,2018,575000,Petrol,Individual,18.16 kmpl
196,Hyundai,2020,720000,Petrol,Individual,18.6 kmpl
198,Tata,2019,520000,Petrol,Individual,20.3 kmpl
207,Maruti,2018,420000,Petrol,Individual,20.51 kmpl
209,Maruti,2018,270000,Petrol,Individual,24.7 kmpl
210,Maruti,2018,700000,Petrol,Individual,22.0 kmpl
212,Tata,2019,1250000,Diesel,Individual,17.6 kmpl
214,Maruti,2018,700000,Diesel,Individual,28.4 kmpl
218,Maruti,2018,830000,Petrol,Individual,21.4 kmpl
224,Hyundai,2020,524000,Petrol,Individual,20.14 kmpl
227,Tata,2018,520000,Petrol,Individual,17.57 kmpl
230,Ford,2018,910000,Petrol,Individual,17.0 kmpl
246,Honda,2019,680000,Petrol,Individual,19.0 kmpl
258,Mahindra,2019,1300000,Diesel,Individual,17.3 kmpl
268,Hyundai,2019,610000,Petrol,Individual,18.6 kmpl
300,Maruti,2019,675000,Petrol,Individual,21.01 kmpl
309,Tata,2018,645000,Petrol,Individual,20.3 kmpl
320,Hyundai,2018,1210000,Diesel,Individual,21.38 kmpl
322,Hyundai,2018,520000,Diesel,Individual,24.0 kmpl
345,Mahindra,2019,1090000,Petrol,Dealer,17.0 kmpl
347,Maruti,2018,610000,Petrol,Dealer,22.0 kmpl
378,Maruti,2018,740000,Diesel,Dealer,27.39 kmpl
381,Maruti,2019,650000,Petrol,Trustmark Dealer,22.0 kmpl
383,Maruti,2018,600000,Petrol,Dealer,22.0 kmpl
385,BMW,2019,5400000,Diesel,Dealer,16.78 kmpl
386,BMW,2019,5500000,Diesel,Dealer,16.78 kmpl
387,Honda,2019,779000,Petrol,Trustmark Dealer,19.0 kmpl
400,Honda,2018,1085000,Petrol,Individual,18.0 kmpl
403,Maruti,2020,409999,CNG,Individual,20.88 km/kg
408,Tata,2018,325000,Petrol,Individual,23.84 kmpl
417,Maruti,2018,740000,Diesel,Dealer,27.39 kmpl
420,Maruti,2019,650000,Petrol,Trustmark Dealer,22.0 kmpl
422,Maruti,2018,600000,Petrol,Dealer,22.0 kmpl
424,BMW,2019,5400000,Diesel,Dealer,16.78 kmpl
425,BMW,2019,5500000,Diesel,Dealer,16.78 kmpl
426,Honda,2019,779000,Petrol,Trustmark Dealer,19.0 kmpl
429,Honda,2019,700000,Diesel,Individual,23.8 kmpl
452,Maruti,2019,675000,Petrol,Individual,21.21 kmpl
453,Tata,2018,1525000,Diesel,Individual,17.6 kmpl
454,Ford,2018,950000,Diesel,Individual,23.0 kmpl
457,Honda,2019,700000,Diesel,Individual,23.8 kmpl
488,Mahindra,2020,480000,Diesel,Individual,25.32 kmpl
490,Hyundai,2018,500000,Petrol,Individual,20.14 kmpl
499,Maruti,2019,700000,Diesel,Individual,28.4 kmpl
511,Maruti,2018,755000,Diesel,Individual,28.4 kmpl
531,Hyundai,2018,801000,Petrol,Individual,18.6 kmpl
553,Maruti,2018,750000,Diesel,Individual,24.3 kmpl
554,Hyundai,2018,570000,Petrol,Individual,18.6 kmpl
555,Hyundai,2018,580000,Petrol,Individual,18.9 kmpl
560,Ford,2018,550000,Petrol,Individual,18.16 kmpl
563,Ford,2018,700000,Petrol,Individual,19.0 kmpl
564,Hyundai,2019,466000,Petrol,Individual,20.3 kmpl
567,Hyundai,2018,500000,Petrol,Individual,18.9 kmpl
584,Maruti,2020,730000,Petrol,Individual,21.21 kmpl
603,Hyundai,2018,580000,Petrol,Individual,18.9 kmpl
615,Tata,2019,550000,Petrol,Individual,24.0 kmpl
625,Hyundai,2019,750000,Diesel,Individual,24.0 kmpl
634,Maruti,2019,360000,Petrol,Individual,23.95 kmpl
654,Maruti,2018,740000,Diesel,Dealer,27.39 kmpl
657,Maruti,2019,650000,Petrol,Trustmark Dealer,22.0 kmpl
659,Maruti,2018,600000,Petrol,Dealer,22.0 kmpl
661,BMW,2019,5400000,Diesel,Dealer,16.78 kmpl
662,BMW,2019,5500000,Diesel,Dealer,16.78 kmpl
663,Honda,2019,779000,Petrol,Trustmark Dealer,19.0 kmpl
673,Maruti,2018,950000,Diesel,Individual,25.1 kmpl
677,Mahindra,2018,535000,Petrol,Individual,18.15 kmpl
678,Maruti,2018,455000,Petrol,Individual,19.0 kmpl
679,Maruti,2019,655000,Petrol,Individual,21.21 kmpl
680,Ford,2019,800000,Diesel,Individual,23.0 kmpl
684,Mahindra,2018,340000,Petrol,Individual,18.15 kmpl
714,Hyundai,2019,600000,Petrol,Individual,18.6 kmpl
715,Mahindra,2019,875000,Diesel,Individual,18.49 kmpl
732,Hyundai,2018,500000,Petrol,Individual,20.14 kmpl
733,Ford,2019,700000,Petrol,Individual,19.0 kmpl
738,Hyundai,2018,531000,Petrol,Individual,18.9 kmpl
747,Hyundai,2018,450000,Petrol,Individual,18.9 kmpl
750,Maruti,2020,390000,Petrol,Individual,23.95 kmpl
764,Hyundai,2019,600000,Petrol,Individual,18.9 kmpl
781,Ford,2019,681000,Petrol,Individual,19.0 kmpl
791,Ford,2019,720000,Petrol,Individual,19.0 kmpl
807,Tata,2019,550000,Petrol,Individual,20.3 kmpl
810,Honda,2019,800000,Diesel,Individual,27.4 kmpl
845,Hyundai,2019,550000,Petrol,Individual,18.9 kmpl
860,Maruti,2018,220000,Petrol,Individual,16.8 kmpl
901,Hyundai,2019,750000,Petrol,Individual,18.6 kmpl
909,Hyundai,2018,580000,Petrol,Individual,18.9 kmpl
915,Hyundai,2018,710000,Diesel,Individual,24.0 kmpl
921,Maruti,2020,370000,Petrol,Individual,22.05 kmpl
923,Maruti,2019,1040000,Petrol,Individual,19.01 kmpl
924,Hyundai,2018,750000,Diesel,Individual,21.19 kmpl
925,Mahindra,2018,600000,Diesel,Individual,18.49 kmpl
930,Hyundai,2019,450000,Petrol,Individual,20.3 kmpl
945,Hyundai,2019,1000000,Diesel,Individual,22.1 kmpl
953,Maruti,2019,675000,Petrol,Individual,21.21 kmpl
966,Maruti,2019,675000,Petrol,Individual,21.4 kmpl
988,Maruti,2018,811000,Diesel,Individual,28.4 kmpl
989,Hyundai,2018,1100000,Petrol,Individual,17.0 kmpl
1003,Maruti,2018,950000,Diesel,Individual,25.1 kmpl
1007,Tata,2019,900000,Diesel,Dealer,24.7 kmpl
1018,Hyundai,2019,1100000,Petrol,Individual,17.0 kmpl
1021,Tata,2018,950000,Diesel,Individual,21.5 kmpl
1036,Maruti,2019,757000,Diesel,Individual,28.4 kmpl
1043,Mahindra,2018,650000,Petrol,Individual,18.15 kmpl
1047,Maruti,2019,600000,Petrol,Individual,21.21 kmpl
1054,Ford,2018,793000,Diesel,Individual,25.83 kmpl
1059,Maruti,2018,795000,Petrol,Dealer,21.21 kmpl
1071,Maruti,2018,750000,Petrol,Dealer,22.0 kmpl
1072,BMW,2018,6000000,Diesel,Dealer,17.09 kmpl
1077,Hyundai,2018,890000,Petrol,Dealer,17.4 kmpl
1085,Maruti,2018,740000,Diesel,Dealer,27.39 kmpl
1088,Maruti,2019,650000,Petrol,Trustmark Dealer,22.0 kmpl
1090,Maruti,2018,600000,Petrol,Dealer,22.0 kmpl
1092,BMW,2019,5400000,Diesel,Dealer,16.78 kmpl
1093,BMW,2019,5500000,Diesel,Dealer,16.78 kmpl
1094,Honda,2019,779000,Petrol,Trustmark Dealer,19.0 kmpl
1104,Maruti,2018,740000,Diesel,Dealer,27.39 kmpl
1107,Maruti,2019,650000,Petrol,Trustmark Dealer,22.0 kmpl
1109,Maruti,2018,600000,Petrol,Dealer,22.0 kmpl
1111,BMW,2019,5400000,Diesel,Dealer,16.78 kmpl
1112,BMW,2019,5500000,Diesel,Dealer,16.78 kmpl
1113,Honda,2019,779000,Petrol,Trustmark Dealer,19.0 kmpl
1123,Maruti,2018,740000,Diesel,Dealer,27.39 kmpl
1126,Maruti,2019,650000,Petrol,Trustmark Dealer,22.0 kmpl
1128,Maruti,2018,600000,Petrol,Dealer,22.0 kmpl
1130,BMW,2019,5400000,Diesel,Dealer,16.78 kmpl
1131,BMW,2019,5500000,Diesel,Dealer,16.78 kmpl
1132,Honda,2019,779000,Petrol,Trustmark Dealer,19.0 kmpl
1142,Maruti,2018,740000,Diesel,Dealer,27.39 kmpl
1145,Maruti,2019,650000,Petrol,Trustmark Dealer,22.0 kmpl
1147,Maruti,2018,600000,Petrol,Dealer,22.0 kmpl
1149,BMW,2019,5400000,Diesel,Dealer,16.78 kmpl
1150,BMW,2019,5500000,Diesel,Dealer,16.78 kmpl
1151,Honda,2019,779000,Petrol,Trustmark Dealer,19.0 kmpl
1156,Hyundai,2018,550000,Diesel,Individual,24.0 kmpl
1160,Hyundai,2019,700000,Diesel,Individual,25.4 kmpl
1167,Maruti,2018,770000,Diesel,Individual,24.3 kmpl
1172,Hyundai,2018,650000,Petrol,Individual,18.6 kmpl
1199,Hyundai,2018,530000,Diesel,Individual,25.4 kmpl
1203,Tata,2018,560000,Petrol,Individual,23.84 kmpl
1226,Maruti,2019,450000,CNG,Individual,21.94 km/kg
1234,Maruti,2018,1000000,Diesel,Individual,28.09 kmpl
1241,Hyundai,2019,720000,Petrol,Individual,17.4 kmpl
1243,Hyundai,2019,570000,Petrol,Individual,20.14 kmpl
1251,Maruti,2018,833000,Diesel,Individual,24.3 kmpl
1271,Maruti,2019,480000,Petrol,Individual,20.52 kmpl
1273,Hyundai,2018,700000,Petrol,Individual,18.6 kmpl
1281,Maruti,2018,1030000,Diesel,Individual,25.1 kmpl
1284,Hyundai,2018,800000,Diesel,Individual,21.19 kmpl
1301,Maruti,2019,610000,Petrol,Individual,21.21 kmpl
1313,Ford,2018,950000,Diesel,Individual,23.0 kmpl
1320,Hyundai,2019,700000,Diesel,Individual,24.0 kmpl
1327,Maruti,2019,585000,Petrol,Individual,21.21 kmpl
1328,Mahindra,2018,500000,Diesel,Individual,23.5 kmpl
1329,Maruti,2019,360000,Petrol,Individual,23.95 kmpl
1335,Mahindra,2018,1200000,Diesel,Individual,17.3 kmpl
1346,Hyundai,2018,570000,Diesel,Individual,25.4 kmpl
1351,Maruti,2019,450000,CNG,Individual,21.94 km/kg
1366,Honda,2018,680000,Petrol,Dealer,18.7 kmpl
1373,Tata,2019,490000,Petrol,Dealer,23.84 kmpl
1374,Mahindra,2018,775000,Diesel,Dealer,18.49 kmpl
1386,Hyundai,2019,434999,Petrol,Dealer,20.3 kmpl
1401,Mahindra,2018,660000,Diesel,Dealer,21.0 kmpl
1432,Hyundai,2019,850000,Diesel,Individual,22.54 kmpl
1445,Maruti,2018,480000,Petrol,Dealer,20.89 kmpl
1447,Maruti,2018,770000,Diesel,Individual,24.3 kmpl
1449,Hyundai,2018,700000,Petrol,Individual,18.6 kmpl
1462,Mahindra,2020,830000,Diesel,Individual,15.1 kmpl
1481,Tata,2019,550000,Petrol,Individual,23.84 kmpl
1487,Hyundai,2018,850000,Diesel,Individual,22.54 kmpl
1504,Maruti,2018,650000,Diesel,Individual,28.4 kmpl
1505,Maruti,2018,400000,Petrol,Individual,20.51 kmpl
1517,Maruti,2018,625000,Petrol,Individual,21.4 kmpl
