car_id,name,year,selling_price,fuel,seller_type,km_driven,owner,mileage
CarID1,Maruti Swift Dzire VDI,2014,450000,Diesel,Individual,145500,First Owner,23.4 kmpl
CarID2,Skoda Rapid 1.5 TDI Ambition,2014,370000,Diesel,Individual,120000,Second Owner,21.14 kmpl
CarID3,Honda City 2017-2020 EXi,2006,158000,Petrol,Individual,140000,Third Owner,17.7 kmpl
CarID4,Hyundai i20 Sportz Diesel,2010,225000,Diesel,Individual,127000,First Owner,23.0 kmpl
CarID5,Maruti Swift VXI BSIII,2007,130000,Petrol,Individual,120000,First Owner,16.1 kmpl
CarID6,Hyundai Xcent 1.2 VTVT E Plus,2017,440000,Petrol,Individual,45000,First Owner,20.14 kmpl
CarID7,Maruti Wagon R LXI DUO BSIII,2007,96000,LPG,Individual,175000,First Owner,17.3 km/kg
CarID8,Maruti 800 DX BSII,2001,45000,Petrol,Individual,5000,Second Owner,16.1 kmpl
CarID9,Toyota Etios VXD,2011,350000,Diesel,Individual,90000,First Owner,23.59 kmpl
CarID10,Ford Figo Diesel Celebration Edition,2013,200000,Diesel,Individual,169000,First Owner,20.0 kmpl
CarID11,Renault Duster 110PS Diesel RxL,2014,500000,Diesel,Individual,68000,Second Owner,19.01 kmpl
CarID12,Maruti Zen LX,2005,92000,Petrol,Individual,100000,Second Owner,17.3 kmpl
CarID13,Maruti Swift Dzire VDi,2009,280000,Diesel,Individual,140000,Second Owner,19.3 kmpl
CarID14,Maruti Swift 1.3 VXi,2007,200000,Petrol,Individual,80000,Second Owner,""
CarID15,Maruti Wagon R LXI Minor,2009,180000,Petrol,Individual,90000,Second Owner,18.9 kmpl
CarID16,Mahindra KUV 100 mFALCON G80 K8 5str,2016,400000,Petrol,Individual,40000,First Owner,18.15 kmpl
CarID17,Maruti Ertiga SHVS VDI,2016,778000,Diesel,Individual,70000,Second Owner,24.52 kmpl
CarID18,Hyundai i20 1.4 CRDi Asta,2012,500000,Diesel,Individual,53000,Second Owner,23.0 kmpl
CarID19,Maruti Alto LX,2002,150000,Petrol,Individual,80000,Second Owner,19.7 kmpl
CarID20,Hyundai i20 2015-2017 Asta 1.4 CRDi,2016,680000,Diesel,Individual,100000,First Owner,22.54 kmpl
CarID21,Mahindra Verito 1.5 D4 BSIII,2011,174000,Diesel,Individual,100000,Second Owner,21.0 kmpl
CarID22,Honda WR-V i-DTEC VX,2017,950000,Diesel,Individual,50000,First Owner,25.5 kmpl
CarID23,Maruti Swift Dzire ZDI,2015,525000,Diesel,Individual,40000,First Owner,26.59 kmpl
CarID24,Maruti SX4 ZDI,2012,600000,Diesel,Individual,72000,First Owner,21.5 kmpl
CarID25,Tata Tigor 2017-2020 XZ,2018,500000,Petrol,Individual,35000,First Owner,20.3 kmpl
